model,head,seed,acc,mf1,uar,roc_auc,pr_auc,eer,delta_mf1,delta_uar,eta_mf1,eta_uar,pli_mf1,pli_uar
hubert-zh-b,linear,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
hubert-zh-b,mlp,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
hubert-zh-b,derived,43,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
hubert-zh-b,linear,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
hubert-zh-b,mlp,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
hubert-zh-b,derived,44,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
rawnet3,linear,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999963228207887,0.9999969383059105,0.001212856276531231,,,,,,
rawnet3,mlp,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.999999693568399,0.999999744795096,0.0005053057099545225,,,,,,
rawnet3,derived,42,,,,,,,0.0008338144168180683,0.0008590809932427224,0.9990660194098864,0.9990407725779528,0.997955323899502,0.997930105135326
rawnet3,linear,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989790510366,0.0006064281382656155,,,,,,
rawnet3,mlp,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
rawnet3,derived,43,,,,,,,0.00027794749270815267,0.0003032140691328067,0.9996219852511227,0.9995967243696909,0.9990663284529082,0.9990410816131648
rawnet3,linear,44,0.9986218302094818,0.9986104028429902,0.9986356132968026,0.9999972421155915,0.9999977040550465,0.001212856276531231,,,,,,
rawnet3,mlp,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,1.0,1.0,0.0,,,,,,
rawnet3,derived,44,,,,,,,0.0008337862675286134,0.0008590809932429444,0.9990657879084269,0.9990405301281394,0.9976774889298837,0.9976774525128773
resnet-voxceleb,linear,42,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
resnet-voxceleb,mlp,42,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
resnet-voxceleb,derived,42,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
resnet-voxceleb,linear,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
resnet-voxceleb,mlp,43,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
resnet-voxceleb,derived,43,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
resnet-voxceleb,linear,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
resnet-voxceleb,mlp,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
resnet-voxceleb,derived,44,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
unispeech-sat-b,linear,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998584286003644,0.9999043624588287,0.0005053057099545225,,,,,,
unispeech-sat-b,mlp,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998976518452851,0.9999270332437852,0.0005053057099545225,,,,,,
unispeech-sat-b,derived,42,,,,,,,0.0,0.0,0.9998999822048907,0.9998999847323838,0.9996220905703775,0.9996473571465495
unispeech-sat-b,linear,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998538321263503,0.999901860413824,0.0005053057099545225,,,,,,
unispeech-sat-b,mlp,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998798788124303,0.9999164572592567,0.0005053057099545225,,,,,,
unispeech-sat-b,derived,43,,,,,,,0.0,0.0,0.9998999822048907,0.9998999847323838,0.9996220905703775,0.9996473571465495
unispeech-sat-b,linear,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998584286003644,0.9999043624588287,0.0005053057099545225,,,,,,
unispeech-sat-b,mlp,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999022483192993,0.999929855299619,0.0005053057099545225,,,,,,
unispeech-sat-b,derived,44,,,,,,,0.0,0.0,0.9998999822048907,0.9998999847323838,0.9996220905703775,0.9996473571465495
w2v2-en-b,linear,42,0.9746416758544653,0.9744249177140332,0.9743289990626257,0.9976760227384506,0.9980776098383796,0.025469981807155852,,,,,,
w2v2-en-b,mlp,42,0.9878721058434399,0.9877852109475216,0.9883776622394451,0.9995366754193746,0.9996046415834015,0.0066707095209217705,,,,,,
w2v2-en-b,derived,42,,,,,,,0.013360293233488418,0.01404866317681941,0.9863746383847795,0.9856864108140139,0.9611480258432978,0.9603828540380502
w2v2-en-b,linear,43,0.9773980154355016,0.9771832299470491,0.9766532827557761,0.9979659070329423,0.998315651756729,0.024863553668890235,,,,,,
w2v2-en-b,mlp,43,0.9873208379272327,0.9872176302463185,0.9873161831737796,0.9992921430018223,0.9993937820732144,0.012734990903577926,,,,,,
w2v2-en-b,derived,43,,,,,,,0.010034400299269386,0.01066290041800344,0.9897354205082503,0.9890999351626899,0.9671528550052527,0.9660076986501664
w2v2-en-b,linear,44,0.976295479603087,0.9760804314734199,0.9757437937641782,0.997935570304449,0.9982917416511126,0.025265285497726123,,,,,,
w2v2-en-b,mlp,44,0.9856670341786108,0.9855670260833376,0.9862553169713159,0.9993834596189033,0.999478078311589,0.01212856276531231,,,,,,
w2v2-en-b,derived,44,,,,,,,0.009486594609917631,0.010511523207137663,0.990274002927732,0.9892416829670253,0.9665870760546114,0.9652464326879057
w2v2-zh-b,linear,42,0.9986218302094818,0.9986101209095204,0.9985344908684914,0.9999954035259859,0.9999961730710447,0.001212856276531231,,,,,,
w2v2-zh-b,mlp,42,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989798239952,0.0006064281382656155,,,,,,
w2v2-zh-b,derived,42,,,,,,,0.0008340121663694688,0.0009096422073984201,0.9990655618541873,0.9989898973201999,0.9976769815197479,0.9975258685033924
w2v2-zh-b,linear,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999944842311831,0.999995405902057,0.001212856276531231,,,,,,
w2v2-zh-b,mlp,43,0.9988974641675854,0.9988884895866363,0.9989893885800909,0.9999972421155915,0.9999977058569294,0.001010611419909045,,,,,,
w2v2-zh-b,derived,43,,,,,,,3.36208191731302e-07,0.000151683642466649,0.9998995621979256,0.9997480869626447,0.998787827247801,0.9985860846975484
w2v2-zh-b,linear,44,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999935649363803,0.9999946308454097,0.001212856276531231,,,,,,
w2v2-zh-b,mlp,44,0.9991730981256891,0.999166241705794,0.9991914802209128,0.9999987742735962,0.9999989798239952,0.0006064281382656155,,,,,,
w2v2-zh-b,derived,44,,,,,,,0.00027797555401409824,0.0003032140691328067,0.9996217468996362,0.9995965000431669,0.998510433568191,0.9984852147795067
wavlm-b,linear,42,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.999999693568399,0.999999744795096,0.0005053057099545225,,,,,,
wavlm-b,mlp,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999993871367981,0.9999994898478446,0.0005053057099545225,,,,,,
wavlm-b,derived,42,,,,,,,0.00027800387937571003,0.00035377528328828234,0.999621928854421,0.9995461554360433,0.9990662157222063,0.9989400025218916
wavlm-b,linear,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999990807051972,0.9999992351578557,0.0005053057099545225,,,,,,
wavlm-b,mlp,43,0.9986218302094818,0.9986101209095204,0.9985344908684914,0.9999984678419953,0.9999987253908799,0.0006064281382656155,,,,,,
wavlm-b,derived,43,,,,,,,-0.0002780324689242164,-0.0003032140691328067,1.0001782624058742,1.000203491939234,0.9987881633885732,0.9987377149482585
wavlm-b,linear,44,0.9991730981256891,0.9991660725457121,0.9990903577926016,0.9999990807051972,0.9999992351578557,0.0005053057099545225,,,,,,
